Line #,Name,Description,Designator,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","Volume Antenna","","A1","","","","","","",""
"","Pitch Antenna","","A2","","","","","","",""
"","3.3n","Capacitor: polyester; 3.3nF; 63VAC; 100VDC; 5mm; ±5%; 7.2x2.5x6.5mm","C1, C5, C24","","","","","","",""
"","15p","Capacitor: ceramic; 15pF; 50V; C0G (NP0); ±5%; THT; 5mm","C2, C6","","","","","","",""
"","10n","Capacitor: polyester; 0.01uF; 63VAC; 100VDC; 5mm; ±10%; -55÷125°C","C3, C7, C15, C26","","","","","","",""
"","1u","Capacitor: tantalum; 1uF; 35VDC; THT; ±20%; -55÷85°C; 2.54mm","C4, C8, C17, C18, C25","","","","","","",""
"","33p","Capacitor: ceramic; 33pF; 50V; C0G (NP0); ±5%; THT; 5mm","C9, C31","","","","","","",""
"","470n","Capacitor: polyester; 470nF; 40VAC; 63VDC; 5mm; ±10%; 7.2x3.5x6.5mm","C10, C11, C29, C30","","","","","","",""
"","1n","Capacitor: polyester; 1nF; 63VAC; 100VDC; 5mm; ±10%; 7.2x2.5x6.5mm","C12","","","","","","",""
"","22u","Capacitor: tantalum; 22uF; 35VDC; THT; ±20%; -55÷85°C; 5.08mm","C13","","","","","","",""
"","2.2n","Capacitor: polyester; 2.2nF; 63VAC; 100VDC; 5mm; ±10%; -55÷105°C","C14","","","","","","",""
"","22p","Capacitor: ceramic; 22pF; 50V; C0G (NP0); ±5%; THT; 5mm","C16","","","","","","",""
"","2200u","Capacitor: electrolytic; THT; 2200uF; 35VDC; Ø16x25mm; Pitch: 7.5mm","C19, C20","","","","","","",""
"","100n","Capacitor: polyester; 100nF; 63VAC; 100VDC; 5mm; ±10%; -55÷100°C","C21, C22, C27, C28","","","","","","",""
"","4.7n","Capacitor: polyester; 4.7nF; 63VAC; 100VDC; 5mm; ±10%; -55÷105°C","C23","","","","","","",""
"","1N4148","Diode: switching; THT; 100V; 0.2A; Ammo Pack; Ifsm: 4A; DO35; 500mW","D1, D4, D5","","","","","","",""
"","1N4001","Diode: rectifying; THT; 50V; 1A; Ammo Pack; Ifsm: 30A; DO41","D2, D3","","","","","","",""
"","Green","LED; 5mm; green; 150÷350mcd; 45°; 1.9÷2.4V; No.of term: 2; -40÷85°C","D6","","","","","","",""
"","JC-211","Socket; Jack 6,3mm; female; mono; ways: 2; for panel mounting; THT","J1, J4","","","","","","",""
"","PC-GK2.1","Socket; DC supply; male; 5.5/2.1mm; 5.5mm; 2.1mm; THT; angled 90°","J2","","","","","","",""
"","8 PIN","Pin header; pin strips; male; PIN: 8; straight; 2.54mm; THT; 1x8","J3","","","","","","",""
"","10m","Inductor: wire; THT; 10mH; Ioper: 250mA; 14.6O; ±10%; Ø11.5x11.5mm","L1, L2, L3, L4","","","","","","",""
"","Var","10pcs 50T 13uh-34uH Adjustable High-Frequency Ferrite Core Inductor Adjustable Tools","L5, L6, L11","","","","","","",""
"","2.2m","Inductor: wire; THT; 2.2mH; Ioper: 550mA; 3.5O; ±10%; Ø11.5x11.5mm","L7, L8","","","","","","",""
"","4.7m","Inductor: wire; THT; 4.7mH; Ioper: 400mA; 6O; ±10%; Ø11.5x11.5mm","L9, L10","","","","","","",""
"","68u","Inductor: axial; THT; 68uH; 185mA; 3.2O; Ø3x8mm, Inductor: axial; THT; 47uH; 205mA; 2.3O; Ø3x8mm","L12, L13, L14","","","","","","",""
"","5k","Potentiometer: shaft; single turn; 5kO; 125mW; ±20%; THT; 6mm; metal","P1, P2","","","","","","",""
"","50k","Potentiometer: shaft; single turn; 50kO; 125mW; ±20%; THT; 6mm; mono","P3, P4","","","","","","",""
"","1k","Resistor: carbon film; THT; 1kO; 0.25W; ±5%; Ø2.3x6mm; axial","R1, R4, R5, R8","","","","","","",""
"","2.2k","Resistor: carbon film; THT; 2.2kO; 0.25W; ±5%; Ø2.3x6mm; axial","R2, R6, R13, R16, R21, R41","","","","","","",""
"","47k","Resistor: carbon film; THT; 47kO; 0.25W; ±5%; Ø2.3x6mm; axial","R3, R7, R30, R38","","","","","","",""
"","10k","Resistor: carbon film; THT; 10kO; 0.25W; ±5%; Ø2.3x6mm; axial","R9, R12, R22, R23, R39, R40, R43","","","","","","",""
"","470R","Resistor: carbon film; THT; 470O; 0.25W; ±5%; Ø2.3x6mm; axial","R10, R15, R17, R19, R44, R45","","","","","","",""
"","33R","Resistor: carbon film; THT; 33O; 0.25W; ±5%; Ø2.3x6mm; axial","R11, R20","","","","","","",""
"","1M","Resistor: carbon film; THT; 1MO; 0.25W; ±5%; Ø2.3x6mm; axial","R14, R36","","","","","","",""
"","2.7k","Resistor: carbon film; THT; 2.7kO; 0.25W; ±5%; Ø2.3x6mm; axial","R18","","","","","","",""
"","4.7k","Resistor: carbon film; THT; 4.7kO; 0.25W; ±5%; Ø2.3x6mm; axial","R24, R26, R31, R32, R33, R34","","","","","","",""
"","330k","Resistor: carbon film; THT; 330kO; 0.25W; ±5%; Ø2.3x6mm; axial","R25","","","","","","",""
"","150k","Resistor: carbon film; THT; 150kO; 0.25W; ±5%; Ø2.3x6mm; axial","R27, R28","","","","","","",""
"","100k","Resistor: carbon film; THT; 100kO; 0.25W; ±5%; Ø2.3x6mm; axial","R29, R42","","","","","","",""
"","4.7M","Resistor: carbon film; THT; 4.7MO; 0.25W; ±5%; Ø2.3x6mm; axial","R35","","","","","","",""
"","3.3M","Resistor: carbon film; THT; 3.3MO; 0.25W; ±5%; Ø2.3x6mm; axial","R37","","","","","","",""
"","ON-ON","Switch: toggle; Pos: 2; SPDT; ON-ON; 0.4A/28VDC; -30÷85°C; 20mO","S1","","","","","","",""
"","2N3904","Transistor: NPN; bipolar; 40V; 0.2A; 625mW; TO92","T1, T2, T3, T4, T5, T6, T7, T8","","","","","","",""
"","78L12","IC: voltage regulator; linear,fixed; 12V; 0.1A; TO92; THT; bulk","U1","","","","","","",""
"","79L12","IC: voltage regulator; linear,fixed; -12V; 0.1A; TO92; THT; bulk","U2","","","","","","",""
"","LM13700","IC: operational amplifier; 2MHz; Ch: 2; SO16;","U3","","","","","","",""
"","TL081","IC: operational amplifier; 3MHz; Ch: 1; DIP8; ±5÷15VDC; tube","U4","","","","","","",""
